testname,..,56/56
testname,testcase,status,time(ms)
..,toolhouse_4,True,1.3005666732788085e-06
..,house_10,True,2.2224640846252442e-07
..,toolhouse_6,True,1.3145475387573243e-06
..,house_tolls_14,True,1.2262051105499267e-06
..,park_2,True,1.2195367813110352e-06
..,mine_1,True,2.314654588699341e-06
..,sell_4,True,2.9250288009643557e-07
..,magic_0,True,1.105693817138672e-06
..,robot_2,True,1.4167265892028808e-06
..,toolhouse_1,True,1.176111936569214e-06
..,toolhouse_11,True,1.1920726299285888e-06
..,house_4,True,1.2708091735839845e-07
..,house_0,True,1.2122631072998047e-07
..,mine_2,True,2.3460347652435303e-06
..,toolhouse_3,True,1.1912624835968017e-06
..,toolhouse_8,True,1.1947546005249023e-06
..,toolhouse_13,True,1.1826610565185547e-06
..,house_5,True,1.0942435264587402e-07
..,toolhouse_10,True,1.1951463222503661e-06
..,toolhouse_2,True,1.1862692832946777e-06
..,mine_0,True,2.2633318901062013e-06
..,house_13,True,1.257014274597168e-07
..,toolhouse_14,True,1.1881060600280762e-06
..,toolhouse_7,True,1.1948351860046387e-06
..,house_1,True,1.2510323524475097e-07
..,park_3,True,2.2560713291168215e-06
..,barrier_0,True,3.299696445465088e-07
..,house_6,True,1.236412525177002e-07
..,toolhouse_0,True,1.1936254501342773e-06
..,gift_house_1,True,1.274617910385132e-06
..,sell_1,True,2.69256591796875e-07
..,sell_3,True,2.6513552665710447e-07
..,magic_2,True,2.2180402278900145e-06
..,sell_0,True,2.7332115173339846e-07
..,magic_3,True,1.1196041107177735e-07
..,park_0,True,1.2392370700836182e-06
..,sell_2,True,2.9918742179870605e-07
..,the_god_of_wealth_0,True,2.349157094955444e-06
..,magic_1,True,1.135737657546997e-06
..,house_9,True,1.200873851776123e-07
..,house_11,True,1.1492185592651368e-06
..,house_14,True,1.1728298664093017e-06
..,toolhouse_15,True,1.2283437252044677e-06
..,house_3,True,1.1986112594604493e-07
..,the_god_of_wealth_1,True,3.4461915493011476e-06
..,house_8,True,1.2734532356262206e-07
..,house_12,True,1.6551637649536133e-07
..,park_1,True,2.2758545875549317e-06
..,basetest0,True,9.973382949829102e-08
..,robot_0,True,3.3815717697143554e-07
..,toolhouse_5,True,1.213275671005249e-06
..,house_7,True,1.21675968170166e-07
..,gift_house_0,True,3.3204026222229005e-06
..,toolhouse_12,True,1.1876223087310791e-06
..,toolhouse_9,True,1.1925790309906006e-06
..,house_2,True,1.2163805961608885e-07

